Game Number,Result,White Wins,Black Wins,Draws
296.0,1/2-1/2,,,
297.0,1/2-1/2,,,
298.0,1/2-1/2,,,
299.0,1/2-1/2,,,
300.0,1/2-1/2,,,
301.0,1/2-1/2,,,
302.0,1-0,,,
303.0,1/2-1/2,,,
304.0,1/2-1/2,,,
305.0,1/2-1/2,,,
306.0,1/2-1/2,,,
307.0,1/2-1/2,,,
308.0,1-0,,,
309.0,1/2-1/2,,,
310.0,1/2-1/2,,,
311.0,1/2-1/2,,,
312.0,1/2-1/2,,,
313.0,1/2-1/2,,,
314.0,1/2-1/2,,,
315.0,1-0,,,
316.0,1/2-1/2,,,
317.0,1/2-1/2,,,
318.0,1/2-1/2,,,
319.0,1/2-1/2,,,
320.0,1/2-1/2,,,
321.0,1-0,,,
322.0,1/2-1/2,,,
323.0,1/2-1/2,,,
324.0,1/2-1/2,,,
325.0,1/2-1/2,,,
326.0,1-0,,,
327.0,1/2-1/2,,,
328.0,1/2-1/2,,,
329.0,1/2-1/2,,,
330.0,1/2-1/2,,,
331.0,1-0,,,
332.0,1-0,,,
333.0,1/2-1/2,,,
334.0,1-0,,,
335.0,1-0,,,
336.0,0-1,,,
337.0,1/2-1/2,,,
338.0,1/2-1/2,,,
339.0,1/2-1/2,,,
340.0,1/2-1/2,,,
341.0,1/2-1/2,,,
342.0,1/2-1/2,,,
343.0,1/2-1/2,,,
344.0,1-0,,,
345.0,1-0,,,
346.0,1/2-1/2,,,
347.0,1/2-1/2,,,
348.0,1/2-1/2,,,
349.0,1/2-1/2,,,
350.0,1/2-1/2,,,
351.0,1/2-1/2,,,
352.0,1/2-1/2,,,
353.0,1/2-1/2,,,
354.0,1/2-1/2,,,
355.0,1/2-1/2,,,
356.0,1-0,,,
357.0,1/2-1/2,,,
358.0,1/2-1/2,,,
359.0,1/2-1/2,,,
360.0,1/2-1/2,,,
361.0,1/2-1/2,,,
362.0,1/2-1/2,,,
363.0,1/2-1/2,,,
364.0,1/2-1/2,,,
365.0,1/2-1/2,,,
366.0,1/2-1/2,,,
367.0,1-0,,,
368.0,1/2-1/2,,,
369.0,1-0,,,
370.0,1/2-1/2,,,
371.0,1/2-1/2,,,
372.0,1/2-1/2,,,
373.0,1/2-1/2,,,
374.0,1/2-1/2,,,
375.0,1/2-1/2,,,
376.0,1/2-1/2,,,
377.0,0-1,,,
378.0,1/2-1/2,,,
379.0,1-0,,,
380.0,1/2-1/2,,,
381.0,1/2-1/2,,,
382.0,1/2-1/2,,,
383.0,1-0,,,
384.0,1/2-1/2,,,
385.0,1/2-1/2,,,
386.0,1/2-1/2,,,
387.0,1/2-1/2,,,
388.0,1-0,,,
389.0,1/2-1/2,,,
390.0,0-1,,,
391.0,1/2-1/2,,,
392.0,1/2-1/2,,,
393.0,0-1,,,
394.0,1/2-1/2,,,
395.0,1-0,,,
396.0,1/2-1/2,,,
397.0,1/2-1/2,,,
398.0,1/2-1/2,,,
399.0,1/2-1/2,,,
400.0,1-0,,,
401.0,1/2-1/2,,,
402.0,1/2-1/2,,,
403.0,1/2-1/2,,,
404.0,1-0,,,
405.0,1-0,,,
406.0,1/2-1/2,,,
407.0,1/2-1/2,,,
408.0,1/2-1/2,,,
409.0,1/2-1/2,,,
410.0,1-0,,,
411.0,1-0,,,
412.0,1/2-1/2,,,
413.0,1-0,,,
414.0,1/2-1/2,,,
415.0,1/2-1/2,,,
416.0,1/2-1/2,,,
417.0,1/2-1/2,,,
418.0,1/2-1/2,,,
419.0,1/2-1/2,,,
420.0,1/2-1/2,,,
